chr_snp	Chromosome	SNP	Env	BF	empirical_p	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110
CE10_chr2_53402042	CE10_chr2	53402042	6	13.13235431	9.668699798696112e-4	0	18	1	9	10	4	10	0	9	5	7	11	14	2	8	0	11	5	19	1	16	4	0	20	0	22	0	18	0	20	0	14	0	16	0	10	3	5	0	4	8	2	4	4	5	7	10	10	17	3	5	3	4	0	2	0	8	0	2	2	1	1	6	8	18	2	18	2	15	1	8	10	17	3	2	2	16	4	4	4	8	0	18	2	8	2	4	0	6	2	14	0	10	0	14	0	20	0	6	0	2	0	4	0	6	0	1	1	18	2
CE10_chr3_4167625	CE10_chr3	4167625	6	18.51913462	2.559770881956913e-4	6	0	4	0	12	0	8	0	12	0	18	0	2	0	8	0	14	0	14	0	18	0	6	0	0	0	2	0	6	0	0	0	16	0	10	0	8	0	4	0	8	0	6	0	0	0	14	0	10	0	8	0	4	0	2	0	2	0	4	0	2	0	8	0	8	0	20	0	14	0	12	0	2	0	4	0	8	0	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	2	0	20	0	6	0	2	0	4	0	6	0	0	0	18	0
CE10_chr3_4170224	CE10_chr3	4170224	6	13.1302344	9.677974330877248e-4	7	11	6	4	12	2	10	0	12	2	20	0	6	8	8	0	16	2	15	3	17	1	15	5	4	18	8	8	2	16	0	14	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	10	4	7	13	19	1	11	3	10	8	8	8	3	1	11	9	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	6	8	20	0	6	0	2	0	4	0	6	0	2	0	20	0
CE10_chr3_4170729	CE10_chr3	4170729	6	22.07530676	1.0943947973585111e-4	6	0	8	0	12	0	10	0	10	0	20	0	0	2	8	0	14	0	14	0	18	0	8	0	0	2	0	0	0	0	0	0	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	6	0	4	0	2	0	8	0	3	1	18	0	10	0	10	0	2	0	4	0	8	0	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	4	0	20	0	6	0	2	0	4	0	6	0	0	0	20	0
CE10_chr3_4172032	CE10_chr3	4172032	6	12.62503157	0.0010809467256959193	8	8	6	4	12	2	10	0	13	1	20	0	2	14	8	0	16	2	16	4	18	0	13	5	0	20	3	13	1	19	0	14	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	10	2	10	10	18	2	12	4	11	7	9	11	3	1	11	9	10	0	8	0	20	0	10	0	4	0	6	0	16	0	10	0	7	7	20	0	6	0	2	0	4	0	6	0	2	0	19	1
CE10_chr3_4172073	CE10_chr3	4172073	6	12.63326903	0.0010795555458688044	6	10	7	3	12	2	10	0	13	1	20	0	4	12	8	0	16	2	18	2	20	0	14	6	9	13	12	8	1	19	0	14	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	8	0	4	0	2	0	11	3	8	10	18	2	12	4	11	7	7	13	3	1	11	9	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	4	8	20	0	6	0	2	0	4	0	6	0	2	0	19	1
CE10_chr3_4172564	CE10_chr3	4172564	6	11.71179849	0.0013726307627884848	7	11	5	3	12	2	10	0	11	3	20	0	7	9	8	0	17	1	15	5	19	1	15	3	7	11	10	8	0	10	0	12	16	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	10	4	8	12	18	2	10	6	12	6	7	13	3	1	9	11	10	0	8	0	18	0	10	0	4	0	8	0	16	0	10	0	5	7	20	0	6	0	2	0	4	0	6	0	2	0	19	1
CE10_chr3_4172895	CE10_chr3	4172895	6	11.69645321	0.0013781954820971665	8	10	6	4	12	2	10	0	13	1	20	0	6	10	8	0	16	2	16	4	19	1	17	3	8	12	15	3	1	19	0	14	17	1	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	11	3	7	13	18	2	12	4	12	6	6	12	3	1	10	10	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	7	7	20	0	6	0	2	0	4	0	6	0	2	0	19	1
CE10_chr3_4173294	CE10_chr3	4173294	6	20.49056483	1.6276803977666177e-4	7	7	7	3	12	2	10	0	13	1	20	0	6	10	8	0	15	3	17	3	19	1	13	7	9	13	14	6	1	19	0	14	17	1	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	11	3	8	12	19	1	9	3	11	7	8	10	3	1	11	9	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	7	5	20	0	6	0	2	0	4	0	6	0	2	0	17	1
CE10_chr3_4174511	CE10_chr3	4174511	6	11.30445669	0.0015270517236022352	4	14	2	8	7	7	10	0	5	7	20	0	8	8	8	0	16	2	17	3	17	3	0	20	9	13	13	7	0	18	0	12	4	14	0	10	2	6	2	0	10	0	8	0	12	0	18	2	13	7	4	4	4	0	2	0	7	1	2	2	2	0	9	5	1	19	14	4	13	3	12	4	6	10	3	1	5	15	9	1	5	3	20	0	10	0	4	0	8	0	15	1	8	2	7	7	20	0	6	0	2	0	4	0	6	0	1	1	17	3
CE10_chr3_4175686	CE10_chr3	4175686	6	13.98040021	7.934362280848095e-4	8	10	8	2	12	2	10	0	12	2	20	0	4	12	8	0	17	1	19	1	19	1	16	4	1	19	3	13	1	19	0	14	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	11	3	7	13	19	1	12	4	11	7	7	13	3	1	10	10	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	5	9	20	0	6	0	2	0	4	0	6	0	0	2	18	2
CE10_chr3_4176063	CE10_chr3	4176063	6	10.19390878	0.001991242059261489	7	11	7	3	10	2	10	0	13	1	20	0	6	10	8	0	16	2	17	3	17	1	14	6	0	20	3	9	1	19	0	14	17	1	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	2	0	2	0	7	1	4	0	2	0	11	1	8	10	19	1	12	4	13	5	8	12	2	0	12	8	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	8	6	20	0	6	0	2	0	4	0	6	0	2	0	19	1
CE10_chr3_4176903	CE10_chr3	4176903	6	18.89230387	2.3603684400652636e-4	7	11	6	4	12	2	10	0	12	2	20	0	5	11	8	0	16	2	18	2	18	2	14	6	0	22	3	17	0	18	0	14	18	0	10	0	8	0	4	0	10	0	8	0	12	0	20	0	20	0	8	0	4	0	2	0	7	1	4	0	2	0	10	4	9	9	18	2	12	4	11	7	8	12	3	1	10	10	10	0	8	0	20	0	10	0	4	0	8	0	16	0	10	0	6	8	18	0	6	0	2	0	4	0	6	0	1	1	19	1
CE10_chr3_45146471	CE10_chr3	45146471	6	11.64194308	0.0014055553520311292	13	5	5	5	6	4	0	6	0	14	8	12	0	12	0	8	0	10	1	17	1	11	19	1	9	9	13	7	12	8	13	1	13	5	6	2	8	0	4	0	4	6	5	3	4	8	11	9	3	17	0	6	0	4	0	2	1	5	0	2	0	2	5	7	0	16	0	10	0	10	0	14	0	16	0	4	6	12	3	5	0	4	0	14	0	10	0	2	1	7	3	11	1	9	0	10	0	18	0	6	0	2	0	4	0	6	0	2	3	15
CE10_chr3_45146713	CE10_chr3	45146713	6	11.45233981	0.001471404530516196	15	3	10	0	7	7	0	10	2	12	8	12	2	14	0	8	1	17	0	20	3	17	20	0	19	3	16	2	18	2	14	0	16	2	7	3	8	0	4	0	4	6	5	3	8	4	12	8	4	16	0	8	0	4	0	2	1	7	1	3	0	2	9	5	0	20	0	18	0	16	0	16	0	20	0	4	10	10	6	4	0	8	0	18	0	10	0	4	1	7	4	12	3	7	0	14	0	20	0	6	0	2	0	4	0	6	1	1	2	18
CE10_chr3_45146794	CE10_chr3	45146794	6	11.25715987	0.0015418909750918308	14	4	6	2	7	7	0	10	0	14	8	12	0	16	0	8	0	18	0	20	1	19	19	1	12	10	14	2	12	8	12	2	12	6	9	1	8	0	4	0	4	6	4	4	4	4	12	8	3	17	0	8	0	4	0	2	1	5	1	3	0	2	8	4	0	20	0	18	0	16	0	14	0	20	0	4	6	14	4	6	0	8	0	16	0	10	0	4	1	7	2	14	1	7	0	14	0	18	0	6	0	2	0	4	0	6	1	1	2	18
CE10_chr5_4521710	CE10_chr5	4521710	6	13.33282938	9.167875060922537e-4	16	2	10	0	1	11	9	1	8	4	0	20	2	14	8	0	13	5	16	2	4	16	20	0	21	1	20	0	20	0	12	2	16	2	10	0	8	0	4	0	4	6	2	6	4	8	13	7	14	6	8	0	0	4	0	2	2	6	1	3	0	2	6	6	14	6	12	4	15	1	9	9	2	18	0	4	6	14	1	9	2	6	12	8	3	5	0	4	0	8	7	7	2	8	10	4	4	14	2	4	0	2	0	4	0	6	0	2	6	12
CE10_chr5_4522489	CE10_chr5	4522489	6	13.04946758	9.877376772768898e-4	15	3	10	0	5	9	7	1	8	4	4	16	5	11	8	0	14	4	15	5	4	16	20	0	21	1	20	0	20	0	12	2	16	2	10	0	8	0	4	0	4	6	2	6	5	7	13	7	12	8	8	0	0	4	0	2	4	4	2	2	0	2	5	7	15	5	13	7	16	0	17	1	5	13	0	4	7	13	2	8	1	5	15	5	4	6	0	4	0	8	9	7	2	6	9	5	4	16	3	3	0	2	0	2	0	6	0	2	7	13
CE10_chr5_4522681	CE10_chr5	4522681	6	15.70912515	5.068531836918133e-4	14	4	10	0	3	11	9	1	7	5	0	20	2	14	8	0	15	3	12	4	5	15	20	0	21	1	20	0	18	0	13	1	16	2	10	0	8	0	4	0	3	7	2	6	4	8	14	6	14	6	8	0	0	4	0	2	3	3	1	3	0	2	4	2	16	4	11	3	13	1	10	8	2	18	0	4	8	12	0	8	4	4	15	5	4	4	0	4	0	8	8	8	2	8	9	5	5	13	3	3	0	2	0	4	0	6	1	1	6	12
CE10_chr5_4522896	CE10_chr5	4522896	6	14.76837534	6.436525333616272e-4	14	2	10	0	3	11	9	1	8	6	0	20	2	12	8	0	14	4	17	3	5	15	20	0	20	0	20	0	20	0	12	2	16	2	10	0	8	0	4	0	3	7	2	6	4	8	12	8	13	7	8	0	0	4	0	2	3	5	1	3	0	2	7	7	17	3	16	4	16	0	9	9	1	19	0	4	7	11	2	8	1	5	16	4	6	2	0	4	0	8	9	7	2	8	4	2	4	16	2	4	0	2	0	4	0	6	1	1	7	11
CE10_chr5_4523045	CE10_chr5	4523045	6	10.30952881	0.0019351311395664483	13	3	10	0	3	11	10	0	9	5	0	20	2	14	8	0	12	6	16	4	5	15	20	0	22	0	20	0	20	0	13	1	16	2	10	0	8	0	4	0	3	7	2	6	5	7	10	4	13	7	8	0	0	4	0	2	2	4	0	2	0	2	7	5	15	5	15	5	15	1	9	9	1	19	0	4	7	13	0	10	2	6	14	6	4	6	0	4	0	8	11	5	0	8	9	5	4	16	3	3	0	2	0	4	0	6	1	1	8	12
CE10_chr5_4530093	CE10_chr5	4530093	6	11.98146144	0.0012747844482789983	15	3	10	0	3	11	10	0	3	3	0	18	2	14	8	0	13	5	16	4	6	14	20	0	22	0	20	0	20	0	12	2	14	0	10	0	8	0	4	0	2	8	2	4	5	7	13	7	12	6	8	0	0	4	0	2	4	2	0	2	0	2	6	6	14	4	10	4	14	2	11	7	1	19	0	4	7	11	1	7	2	6	14	6	3	5	0	4	0	8	10	6	2	8	11	3	5	15	2	4	0	2	0	4	0	6	0	2	4	10
CE10_chr6_52686049	CE10_chr6	52686049	6	10.19220178	0.0019921695124796024	17	1	6	4	11	3	3	7	4	10	9	11	2	14	5	3	6	12	20	0	11	9	18	2	20	2	13	7	10	6	14	0	15	3	10	0	8	0	4	0	5	5	8	0	9	3	10	10	13	7	8	0	3	1	2	0	7	1	4	0	1	1	3	11	6	14	10	8	3	13	9	9	6	10	3	1	9	11	10	0	5	3	17	3	5	5	2	2	4	4	7	9	10	0	12	2	15	3	1	5	2	0	3	1	4	0	2	0	8	12
CE10_chr6_52686281	CE10_chr6	52686281	6	11.52354299	0.0014440446605822332	15	3	6	4	10	0	2	4	3	11	8	2	2	8	3	5	6	10	19	1	10	10	17	3	21	1	14	4	12	8	14	0	15	1	10	0	8	0	4	0	6	0	8	0	7	3	11	7	9	7	8	0	2	0	2	0	7	1	4	0	1	1	2	4	4	8	7	3	2	12	6	8	5	5	2	0	11	3	8	0	3	1	17	3	0	0	2	2	3	5	4	4	10	0	14	0	14	4	0	4	0	0	3	1	5	1	2	0	9	3
CE10_chr6_52687062	CE10_chr6	52687062	6	13.58103705	8.667050323147851e-4	14	2	6	4	11	3	3	7	3	11	10	10	2	12	4	4	7	11	19	1	10	10	18	2	20	2	14	4	10	8	14	0	15	3	10	0	8	0	4	0	6	4	8	0	9	3	13	7	11	9	8	0	3	1	2	0	6	2	4	0	1	1	0	12	6	14	11	9	2	14	7	7	9	11	3	1	9	11	10	0	4	4	17	1	5	5	2	2	3	5	8	8	10	0	12	2	13	7	1	5	2	0	3	1	6	0	2	0	6	10
CE10_chr6_52687892	CE10_chr6	52687892	6	10.60759974	0.0018025053293780902	16	2	6	4	11	3	3	7	3	11	11	9	2	14	4	4	6	12	17	1	11	9	14	4	20	2	15	5	11	9	14	0	15	3	10	0	8	0	4	0	6	4	8	0	10	2	11	9	12	8	8	0	3	1	2	0	7	1	4	0	1	1	1	13	5	13	9	11	2	14	10	8	8	12	4	0	9	11	10	0	4	4	18	2	2	8	2	2	3	5	9	7	10	0	13	1	16	4	1	5	2	0	3	1	6	0	2	0	9	11
CE10_chr6_56503122	CE10_chr6	56503122	6	10.42667836	0.0018864398456160947	14	4	3	7	11	3	7	3	7	3	6	14	12	4	1	7	8	10	12	8	16	4	6	12	13	9	10	8	14	4	4	10	3	15	5	5	1	7	3	1	8	2	4	4	6	6	20	0	12	8	8	0	2	2	0	2	4	2	4	0	1	1	5	9	14	4	12	8	9	7	11	3	15	5	4	0	18	2	5	5	2	6	4	16	1	7	2	2	1	7	4	12	1	7	8	4	11	9	4	2	2	0	1	3	4	2	2	0	15	5
CE10_chr6_56503642	CE10_chr6	56503642	6	21.99612759	1.1314929260819451e-4	12	6	3	7	10	4	5	5	11	3	6	14	14	2	6	2	16	2	13	5	17	3	3	17	12	8	9	11	14	4	5	9	2	16	0	8	1	7	3	1	5	5	4	4	7	5	18	0	12	8	8	0	2	2	0	2	6	2	2	2	1	1	9	5	20	0	15	3	10	6	15	3	12	8	1	3	14	6	4	4	7	1	6	14	5	3	2	2	4	4	9	7	3	7	8	6	10	10	5	1	2	0	1	3	5	1	2	0	17	3
CE10_chr6_56503965	CE10_chr6	56503965	6	16.98513221	3.6866265419488453e-4	11	5	1	7	12	0	8	2	11	3	8	12	11	3	6	2	17	1	12	6	18	2	5	15	12	8	13	5	18	2	7	7	2	12	5	5	1	7	2	2	7	1	4	4	4	6	20	0	14	4	8	0	2	2	0	2	5	1	2	2	1	1	10	2	20	0	15	5	11	3	16	2	14	6	2	2	20	0	5	5	7	1	6	14	7	3	2	2	5	3	8	6	2	6	7	3	11	9	0	0	2	0	1	3	3	1	2	0	16	4
CE10_chr6_56504004	CE10_chr6	56504004	6	15.97046674	4.7485604766739353e-4	11	5	1	9	12	0	8	2	11	3	8	12	11	3	6	2	18	0	13	5	14	4	6	12	13	7	15	3	18	2	6	8	3	13	5	5	2	6	3	1	8	0	4	4	4	6	20	0	12	8	8	0	2	2	0	2	5	3	2	0	1	1	8	2	20	0	14	4	9	5	13	1	14	6	3	1	20	0	6	4	7	1	4	12	8	2	2	2	5	3	8	8	0	6	7	7	10	10	5	1	0	0	1	3	4	2	2	0	16	2
CE10_chr6_56505735	CE10_chr6	56505735	6	18.8349942	2.4113783670609568e-4	13	5	2	4	14	0	7	1	11	3	5	9	12	0	6	2	18	0	11	9	15	3	5	15	12	6	12	4	17	1	6	6	3	13	5	3	0	2	3	1	8	2	4	0	5	5	20	0	14	4	8	0	2	2	0	2	3	3	2	2	0	0	7	5	20	0	16	0	9	5	16	0	16	2	2	0	19	1	6	2	6	0	6	8	6	2	2	0	3	3	9	5	2	4	6	4	10	6	5	1	2	0	0	0	3	1	2	0	16	2
CE10_chr6_56505794	CE10_chr6	56505794	6	12.2072512	0.0012033705504852499	13	5	2	4	13	1	7	1	12	2	5	11	12	0	5	1	16	0	12	2	16	2	4	14	12	4	11	3	18	0	6	4	3	11	5	3	2	4	4	0	7	1	4	4	5	3	20	0	12	4	8	0	2	0	0	2	6	2	2	2	0	0	6	6	20	0	12	0	8	4	17	1	17	3	2	0	20	0	6	4	6	0	3	11	5	3	2	2	3	3	8	4	3	7	8	4	8	6	4	0	2	0	0	0	3	1	2	0	16	2
CE10_chr6_56505809	CE10_chr6	56505809	6	15.60633045	5.198375287452928e-4	10	0	0	0	12	0	6	0	12	0	4	0	12	0	4	0	16	0	12	0	16	0	2	0	10	0	10	0	18	0	4	0	2	0	4	0	2	0	2	0	4	0	4	0	4	0	20	0	12	0	8	0	2	0	0	0	5	1	2	0	0	0	4	0	20	0	12	0	6	0	16	0	16	0	2	0	20	0	2	0	6	0	3	1	4	0	2	0	2	0	6	0	2	0	6	0	6	0	4	0	2	0	2	0	2	0	2	0	16	0
CE10_chr6_56505818	CE10_chr6	56505818	6	12.72742366	0.001057296668634411	10	0	0	0	12	0	6	0	12	0	4	0	12	0	4	0	16	0	10	0	16	0	2	0	10	0	10	0	16	0	4	0	2	0	4	0	2	0	2	0	4	0	4	0	4	0	20	0	12	0	8	0	2	0	0	0	4	0	2	0	0	0	4	0	20	0	12	0	6	0	16	0	14	0	2	0	20	0	2	0	6	0	1	1	4	0	2	0	2	0	6	0	2	0	6	0	6	0	4	0	2	0	2	0	2	0	2	0	16	0
CE10_chr6_56507361	CE10_chr6	56507361	6	11.7700509	0.0013489807057269765	12	6	2	8	13	1	7	3	11	3	8	12	12	4	6	2	17	1	14	6	17	3	6	14	13	9	14	4	18	2	7	7	3	15	5	5	2	6	0	4	9	1	4	4	6	6	20	0	13	7	8	0	2	2	0	2	4	4	2	2	1	1	10	4	20	0	15	5	8	6	15	3	14	6	3	1	19	1	5	5	7	1	4	16	6	4	2	0	4	4	8	8	2	8	7	7	11	7	4	2	1	1	1	3	5	1	2	0	16	4
CE10_chr6_56508033	CE10_chr6	56508033	6	24.54879454	6.306681883083698e-5	12	2	3	7	12	0	8	0	11	1	7	11	13	1	6	2	16	0	14	6	17	3	5	15	12	6	14	2	19	1	7	7	3	13	5	3	1	7	2	2	9	1	5	3	7	5	20	0	11	7	8	0	2	2	0	2	6	2	2	2	1	1	4	0	20	0	18	2	10	4	16	0	14	6	0	0	18	0	5	5	8	0	2	8	7	3	2	2	4	4	8	6	3	7	7	7	13	7	2	4	1	1	2	2	4	2	2	0	17	1
CE10_chr6_56508324	CE10_chr6	56508324	6	14.75725455	6.459711664068557e-4	12	4	0	6	13	1	7	3	12	2	8	12	14	2	6	2	18	0	12	6	16	2	5	15	14	8	16	4	18	2	6	8	3	15	5	5	1	7	1	1	9	1	5	3	7	5	20	0	11	9	8	0	2	2	0	2	6	2	2	2	1	1	10	2	20	0	16	4	9	7	13	1	14	4	2	2	17	1	4	6	7	1	3	15	8	2	2	2	3	3	8	8	3	5	9	5	13	7	1	3	1	1	2	2	3	1	2	0	16	2
CE10_chr6_56508360	CE10_chr6	56508360	6	15.57677117	5.240110682267485e-4	15	3	0	6	13	1	7	3	12	2	8	12	13	3	6	2	18	0	10	6	18	2	5	15	14	8	16	4	18	2	6	8	3	15	5	5	1	7	0	0	8	2	4	4	5	5	20	0	11	9	8	0	2	2	0	2	6	2	2	2	1	1	10	2	20	0	16	4	10	6	16	2	14	4	2	2	17	1	4	6	7	1	6	14	8	2	2	2	4	4	7	9	3	5	9	5	13	7	3	3	1	1	2	2	3	1	2	0	17	3
CE10_chr6_56508405	CE10_chr6	56508405	6	16.28381572	4.4193145842486015e-4	15	3	0	6	13	1	7	3	12	2	8	12	13	3	6	2	18	0	11	7	17	1	5	15	14	8	16	4	18	2	5	7	3	15	5	5	1	7	0	0	8	2	4	4	5	5	20	0	12	8	8	0	2	2	0	2	7	1	2	2	1	1	7	3	18	0	15	3	12	4	17	1	14	4	2	2	19	1	4	6	7	1	5	13	6	2	2	2	3	3	5	9	3	5	7	5	12	6	3	1	1	1	0	2	3	1	2	0	17	3
CE10_chr6_56508444	CE10_chr6	56508444	6	19.93034214	1.868818234471714e-4	13	1	0	0	12	0	6	0	12	0	9	1	10	0	4	0	18	0	10	0	18	0	3	1	13	1	11	1	17	1	7	1	3	1	5	1	2	0	0	0	6	0	4	0	4	0	20	0	12	0	8	0	2	0	0	0	6	0	2	0	0	2	4	0	18	0	16	0	10	0	14	0	12	0	0	0	19	1	4	0	8	0	6	0	4	0	2	0	2	0	3	1	3	1	4	0	10	0	2	0	0	0	0	0	4	0	2	0	16	0
CE10_chr6_56509130	CE10_chr6	56509130	6	14.85972634	6.21857382736346e-4	12	4	2	6	13	1	8	2	12	2	7	9	14	2	6	2	17	1	13	3	18	2	4	16	14	8	14	4	17	1	6	8	3	15	5	5	1	5	2	2	10	0	4	4	7	5	18	0	12	8	8	0	2	2	0	2	6	2	2	2	1	1	7	5	20	0	15	5	12	4	17	1	13	3	1	1	20	0	6	4	6	2	7	13	6	4	2	2	3	3	9	7	5	5	8	6	11	7	3	1	0	0	1	3	5	1	2	0	16	4
